year;in;out
1951;;P.1
1965;;M.3.1
1966;;N.1.3
1967;;N.7/N.8.3
1967;;N.2.3
1969;;N.5.3
1969;;N.3.3
1970;M.3.1;M.3.1-N.4.3
1972;N.5.3;N.5.3-N.6.3
1974;;M.3.2
1975;M.3.1-N.4.3;M.3.1
1975;;N.9.3
1975;;IS.3
1975;;US.2
1980;;C.1
1981;N.5.3-N.6.3;N.5.3
1984;;N.2T
1986;N.2.3;N.2.3-N.2.3H
1990;P.1-C.1;IGP
1990;N.5.3;SOL
1990;N.7/N.8.3;FOR
1990;N.9.3;RLE
1990;IS.3;SIG
1990;US.2;USH-GIU-GIR-GIC
1990;N.2.3H;WRS
1990;N.2.3-N.1.3;GEO
1990;N.3.3;AGS
1990;M.3.2;EXG
1990;N.2T;ENG
1990;M.3.1;MEX
1994;;ESM
1999;ESM;
2000;IGP;GFM
2000;SOL-FOR-RLE-SIG;NRM
2000;USH;UPLA
2000;GIU-GIR-GIC;GIM
2000;WRS;WREM
2000;GEO-AGS-EXG-ENG-MEX;EREG
2007;UPLA;UPM
2007;GIM;GSIM-GIM
2007;EREG;AES
2008;GIM;GIMLA
2009;GIMLA;LA