start;end;in;out;stem
1980;1990;C.1;C.1;1
2000;2022;GFM;GFM;1
1990;2000;IGP;IGP;1
2000;2000;IGP;GFM;1
1951;1990;P.1;P.1;1
1990;1990;P.1-C.1;IGP;1
1990;2000;SIG;SIG;2
1990;1990;IS.3;SIG;2
1972;1972;N.5.3;N.6.3;2
1990;1990;N.5.3;SOL;2
1969;1990;N.5.3;N.5.3;2
1981;1981;N.6.3;N.5.3;2
1972;1981;N.6.3;N.6.3;2
1967;1990;N.7/N.8.3;N.7/N.8.3;2
1990;1990;N.7/N.8.3;FOR;2
1990;1990;N.9.3;RLE;2
1990;2000;SOL;SOL;2
2000;2000;SOL-FOR-RLE-SIG;NRM;2
1990;2000;RLE;RLE;2
2000;2022;NRM;NRM;2
1975;1990;IS.3;IS.3;2
1990;2000;FOR;FOR;2
1975;1990;N.9.3;N.9.3;2
2007;2007;GIM;GSIM;3
2008;2008;GIM;GIMLA;3
2008;2009;GIMLA;GIMLA;3
2009;2009;GIMLA;LA;3
2000;2000;GIU-GIR-GIC;GIM;3
2007;2007;UPLA;UPM;3
1990;1990;US.2;USH-GIU-GIR-GIC;3
2000;2000;USH;UPLA;3
1975;1990;US.2;US.2;3
1990;2000;GIR;GIR;3
1990;2000;GIC;GIC;3
1990;2000;GIU;GIU;3
1990;2000;USH;USH;3
2000;2007;UPLA;UPLA;3
2007;2022;UPM;UPM;3
2009;2022;LA;LA;3
2007;2014;GSIM;GSIM;3
2000;2008;GIM;GIM;3
1994;1999;ESM;ESM;4
1986;1990;N.2.3H;N.2.3H;5
1990;1990;N.2.3H;WRS;5
1990;2000;WRS;WRS;5
2000;2022;WREM;WREM;5
2000;2000;WRS;WREM;5
1986;1986;N.2.3;N.2.3H;5
1969;1990;N.3.3;N.3.3;6
2007;2007;EREG;AES;6
2000;2000;GEO-AGS-EXG-ENG-MEX;EREG;6
1970;1970;M.3.1;N.4.3;6
1990;1990;M.3.1;MEX;6
1965;1990;M.3.1;M.3.1;6
1975;1975;N.4.3;M.3.1;6
1990;1990;M.3.2;EXG;6
1974;1990;M.3.2;M.3.2;6
1990;1990;N.2.3-N.1.3;GEO;6
1990;1990;N.2T;ENG;6
1984;1990;N.2T;N.2T;6
1990;1990;N.3.3;AGS;6
1966;1990;N.1.3;N.1.3;6
1967;1990;N.2.3;N.2.3;6
1990;2000;MEX;MEX;6
1990;2000;ENG;ENG;6
1990;2000;AGS;AGS;6
1990;2000;GEO;GEO;6
2000;2007;EREG;EREG;6
2007;2022;AES;AES;6
1970;1975;N.4.3;N.4.3;6