name,party,dateStart,title
Bot,CDA,1965-04-14,minister for aid to developing nations
Bot,CDA,1966-11-22,minister for aid to developing nations
Udink,CDA,1967-04-05,minister for aid to developing nations
Boertien,CDA,1971-07-06,minister for development cooperation
Boertien,CDA,1972-08-09,minister for development cooperation
Pronk,PvdA,1973-05-11,minister for development cooperation
De Koning,CDA,1977-12-19,minister for development cooperation
Van Dijk,CDA,1981-09-11,minister for development cooperation
Van Dijk,CDA,1982-05-29,minister for development cooperation
Schoo,VVD,1982-11-04,minister for development cooperation
Bukman,CDA,1986-07-14,minister for development cooperation
Pronk,PvdA,1989-11-07,minister for development cooperation
Pronk,PvdA,1994-08-22,minister for development cooperation
Herfkens,PvdA,1998-08-03,minister for development cooperation
Van Ardenne,CDA,2022-06-22,minister for development cooperation
Van Ardenne,CDA,2003-05-27,minister for development cooperation
Van Ardenne,CDA,2006-07-07,minister for development cooperation
Koenders/Verhagen,CDA,2007-02-22,minister for development cooperation
Knapen,CDA,2010-10-14,minister for development cooperation
Ploumen,PvdA,2012-11-05,minister for foreign trade and development cooperation
Kaag/de Bruijn,D66,2017-10-26,minister for foreign trade and development cooperation
Schreinemacher,VVD,2022-01-01,minister for foreign trade and development cooperation