project,dateStart,dateEnd
School for Environmental Conservation Management,1985,1991
School for Environmental Conservation Management,1987,1991
School for Environmental Conservation Management,1988,1990
School for Environmental Conservation Management,1991,1992
TAT V Project,1986,1994
TAT V Project,1989,1990
Faculty of Geography at Gadjah Mada University – Yogyakarta,1978,1984
Faculty of Geography at Gadjah Mada University – Yogyakarta,1984,1990
PUSPICS – Centre for remote sensing at Gadjah Mada University,1984,1990
Maluku Province Regional Planning Project (LTA 72),1987,1989
Maluku Province Regional Planning Project (LTA 72),1989,1991